route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10100011A11,DAILY,1011A111,Highridge,1,,1011A11
10100011A11,DAILY,1011A110,Odeon,0,,1011A11
10300011F11,DAILY,1011F111,Ruaka,1,,1011F11
10300011F11,DAILY,1011F110,Odeon,0,,1011F11
10300106011,DAILY,10106111,Banana,1,,1010611
10300106011,DAILY,10106110,Koja,0,,1010611
10400010711,DAILY,10107111,Ndenderu,1,,1010711
10400010711,DAILY,10107110,Odeon,0,,1010711
10200010811,DAILY,10108111,Gichagi,1,,1010811
10200010811,DAILY,10108110,UNEP,0,,1010811
10000116011,DAILY,10116111,Limuru,1,,1011611
10000116011,DAILY,10116110,Koja,0,,1011611
20702000611,DAILY,20006111,Eastleigh,1,,2000611
20702000611,DAILY,20006110,Koja,0,,2000611
21000017B11,DAILY,2017B111,Mwiki,1,,2017B11
21000017B11,DAILY,2017B110,Bus Station,0,,2017B11
20000002311,DAILY,20023111,Westlands,1,,2002311
20000002311,DAILY,20023110,Koja,0,,2002311
20801002511,DAILY,20025111,Baba Dogo,1,,2002511
20801002511,DAILY,20025110,Odeon,0,,2002511
20801025A11,DAILY,2025A111,Lucky Summer,1,,2025A11
20801025A11,DAILY,2025A110,Odeon,0,,2025A11
20807042011,DAILY,20042111,Dandora,1,,2004211
20807042011,DAILY,20042110,Alsops,0,,2004211
20901043011,DAILY,20043111,Ngumba,1,,2004311
20901043011,DAILY,20043110,Bus Station,0,,2004311
21100004412,DAILY,20044121,KU,1,,2004412
21100004412,DAILY,20044120,Odeon,0,,2004412
20000004512,DAILY,20045121,Githurai,1,,2004512
20000004512,DAILY,20045120,Tusker,0,,2004512
20000004511,DAILY,20045111,Ku,1,,2004511
20000004511,DAILY,20045110,Tusker,0,,2004511
21000004911,DAILY,20049111,Sunton,1,,2004911
21000004911,DAILY,20049110,Odeon,0,,2004911
20100010011,DAILY,20100111,Kiambu,1,,2010011
20100010011,DAILY,20100110,Kaka,0,,2010011
20100100A11,DAILY,2100A111,Kiambu Hospital,1,,2100A11
20100100A11,DAILY,2100A110,Ngara,0,,2100A11
20100012011,DAILY,20120111,Githunguri,1,,2012011
20100012011,DAILY,20120110,Kaka,0,,2012011
20100012111,DAILY,20121111,Ndumberi,1,,2012111
20100012111,DAILY,20121110,Kaka,0,,2012111
20000145011,DAILY,20145111,Ruiru,1,,2014511
20000145011,DAILY,20145110,Tusker,0,,2014511
20000237011,DAILY,20237111,Thika,1,,2023711
20000237011,DAILY,20237110,Tusker,0,,2023711
20800203001,DAILY,22030111,Rounda,1,,2203011
20800203001,DAILY,22030110,Alsops,0,,2203011
20701293011,DAILY,22930111,Mathare,1,,2293011
20701293011,DAILY,22930110,Ngara,0,,2293011
21100004411,DAILY,20044111,Ku,1,,2004411
21100004411,DAILY,20044110,Odeon,0,,2004411
30101000311,DAILY,30003111,Gikomba,1,,3000311
30101000311,DAILY,30003110,Ngara,0,,3000311
30100000711,DAILY,30007111,Town,1,,3000711
30100000711,DAILY,30007110,Gikomba,0,,3000711
30100011C11,DAILY,3011C111,Pangani Terminus,1,,3011C11
30100011C11,DAILY,3011C110,Odeon,0,,3011C11
30800001411,DAILY,30014111,Kariobangi,1,,3001411
30800001411,DAILY,30014110,OTC,0,,3001411
30600017A11,DAILY,3017A111,Kayole,1,,3017A11
30600017A11,DAILY,3017A110,Eastleigh,0,,3017A11
30600018C11,DAILY,3018C111,Kayole,1,,3018C11
30600018C11,DAILY,3018C110,Eastleigh,0,,3018C11
30800002811,DAILY,30028111,Kariobangi,1,,3002811
30800002811,DAILY,30028110,Gikomba,0,,3002811
30907003211,DAILY,30032111,Dandora,1,,3003211
30907003211,DAILY,30032110,OTC,0,,3003211
30007004111,DAILY,30041111,Dandora,1,,3004111
30007004111,DAILY,30041110,Gikomba,0,,3004111
30000004611,DAILY,30046111,Huruma,1,,3004611
30000004611,DAILY,30046110,OTC,0,,3004611
30000046B11,DAILY,3046B111,Rounda,1,,3046B11
30000046B11,DAILY,3046B110,Tusker,0,,3046B11
30600186211,DAILY,31862111,Kayole,1,,3186211
30600186211,DAILY,31862110,Bus station,0,,3186211
30603373812,DAILY,33738111,Ruai,1,,3373811
30603373812,DAILY,33738110,Rounder,0,,3373811
40200000601,DAILY,40006111,Joster,1,,4000611
40200000601,DAILY,40006110,Church Army,0,,4000611
40401001011,DAILY,40010111,Maringo,1,,4001011
40401001011,DAILY,40010110,Muthurwa,0,,4001011
40705017A01,DAILY,4017A111,Rounder,1,,4017A11
40705017A01,DAILY,4017A110,Kayole,0,,4017A11
40702019C11,DAILY,4019C111,Komarocks,0,,4019C11
40702019C11,DAILY,4019C110,Ambassadeur,1,,4019C11
40705019C11,DAILY,4019C121,Komarocks,1,,4019C12
40705019C11,DAILY,4019C120,Town,0,,4019C12
4070519C211,DAILY,4019C211,Komarocks,1,,4019C21
4070519C211,DAILY,4019C210,Donholm,0,,4019C21
40702002001,DAILY,40020111,Mwiki,1,,4002011
40702002001,DAILY,40020110,Mama Lucy,0,,4002011
40201002311,DAILY,40023111,Kariobangi South,1,,4002311
40201002311,DAILY,40023110,Ambassadeur,0,,4002311
40403002611,DAILY,40026211,Kariobangi,1,,4002621
40403002611,DAILY,40026210,Makadara,0,,4002621
40501002611,DAILY,40026111,Kariobangi,1,,4002611
40501002611,DAILY,40026110,Makadara,0,,4002611
40700033C11,DAILY,40033511,Cabanas,1,,4003351
40700033C11,DAILY,40033510,Commercial,0,,4003351
